lesson,source_file,pdf_page,source_heading,role,planned_anchor,chapter,status
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,1,EDAI-K9 / Data Engineering: / Ingestion Layer,cover,b7/hero,Source identity / course introduction,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,2,Learn / About The Kafka Ecosystem02/ / Sources systems01/,agenda,b7/navigation,"Agenda, including named-only supplements",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,3,Source / systems Type of source system / 02/,chapter divider,b7/ch01,Source systems chapter divider,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,4,Introduction - Data Architecture / Data / Sources,chapter material or chapter divider,b7/ch01,The order leaves its source,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,5,Introduction - Ingestion Layer / Data / Sources,chapter material or chapter divider,b7/ch01,The order leaves its source,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,6,"Source System definition / Source systems are the primary origin of data, where information is generated or stored / before being ingested into the data platform.",chapter material or chapter divider,b7/ch01,The order leaves its source,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,7,Source systems / Data Quality / ● Garbage in = Garbage out.,chapter material or chapter divider,b7/ch01,The order leaves its source,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,8,Types of Source Systems / There are some types of source systems: / File and unstructured data,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,9,Types of Source Systems / File and unstructured data / ● A file is a collection of data stored in a computer system. And it,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,10,Types of Source Systems / File and unstructured data / ● Unstructured data has no predefined format. It,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,11,Types of Source Systems / Change Data Capture (CDC) / Change Data Capture (CDC),chapter material or chapter divider,b7/ch03,"Capture the change, including the deletion",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,12,Change Data Capture (CDC) / Timestamp-Based CDC / Timestamp-Based CDC,chapter material or chapter divider,b7/ch03,"Capture the change, including the deletion",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,13,Change Data Capture (CDC) / Trigger-based CDC / Trigger-based CDC,chapter material or chapter divider,b7/ch03,"Capture the change, including the deletion",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,14,Change Data Capture (CDC) / Log-based CDC / Log-based CDC,chapter material or chapter divider,b7/ch03,"Capture the change, including the deletion",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,15,Types of Source Systems / OLTP Systems / ● OLTP (Online Transaction Processing) systems are designed to handle daily operational,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,16,Types of Source Systems / OLAP Systems / ● OLAP (Online Analytical Processing) systems are designed for analysis and reporting.,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,17,"Types of Source Systems / OLTP, OLAP Data Structures / Row-based storage is optimized for transactional workloads (OLTP), column-based for",chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,18,Online analytical processing (OLAP) Online transactional processing (OLTP) / Purpose Analyze large volume of data Process a large number of real-time / transactions,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,19,Types of Source Systems / Logs / Logs,chapter material or chapter divider,b7/ch02,"Different sources, different clocks",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,20,The Kafka / Ecosystem Introduction02/ / Motivation01/,chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,21,"Motivation / ● We builds an e-commerce system where all orders / are stored in a production database. Soon, analytics,",chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,22,"Kafka Introduction / Apache Kafka is a distributed event streaming platform designed to publish, store, and process streams of / records in real time.",chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,23,Kafka Architecture / Producer 1 / Producer 2,chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,24,The Kafka Ecosystem / Kafka core / Producer 1,chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,25,The Kafka Ecosystem / Kafka extended API / Source,chapter material or chapter divider,b7/ch04,"One event, several destinations",implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,26,Fundamental / s of Kafka Producer fundamentals02/ / Core Concepts01/,chapter material or chapter divider,b7/ch05,A topic becomes parallel lanes,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,27,Overview of Kafka Core Concepts / Kafka is a distributed system designed to handle huge streams of data in real-time through six / core building blocks.,chapter material or chapter divider,b7/ch05,A topic becomes parallel lanes,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,28,Core Concept / A topic is a named channel where producers send / messages and consumers read from - organizing data by,chapter material or chapter divider,b7/ch05,A topic becomes parallel lanes,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
